photo-count,list-view-price,list-view-date,left,celly,celly 2,celly 3,celly 4,list-view-header,list-view-location,img-wrp href,he-lazy-image src,he-lazy-image src 2,city,district,neighborhood,room,living_room,area,age,floor,price
12,13250,25-03-2024,Kiralık Daire,3 +                        1,140 m²,15                       Yaşında,3. Kat,Kiralık Cadde Üzeri Arakat Daire,"Tire, 4 Eylül Mahallesi",,,,izmir,tire,4_eylul,3,1,140,15,3,13250
14,19000,27-03-2024,Kiralık Daire,3 +                        1,110 m²,25                       Yaşında,3. Kat,Fırsat Alsancak Pazar Sokağında Tadilatlı 3+1 Keyifli Daire,"Konak, Alsancak Mahallesi",,,,izmir,konak,alsancak,3,1,110,25,3,19000
21,11000,06-04-2024,Kiralık Daire,2 +                        1,110 m²,20                       Yaşında,3. Kat,Atıcı Group’dan 100 M2 Kiralık Daire Karabağlar,"Karabağlar, Peker Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/atici-group-gayrimenkul-126733,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/7/2/9/6/4/2/4/1712419845-0037088-42469274.jpeg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/3/3/7/6/2/1/a6ba2377-b410-4d1f-8104-87d1e1fa21a6.jpg,izmir,karabaglar,peker,2,1,110,20,3,11000
9,10000,28-03-2024,Kiralık Daire,1 +                        1,60 m²,0 Yaşında,2. Kat,Loca Yapıda 1+1 Kiralık Daire,"Torbalı, Yedi Eylül Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/7/5/2/4/2/4/1711619154881-42425766.jpg,,izmir,torbali,yedi_eylul,1,1,60,0,2,10000
34,29000,01-03-2024,Kiralık Daire,2 +                        1,90 m²,35                       Yaşında,3. Kat,Ekonomi Üniv. Yakını  Eşyalı Kiralık Emlaksal'dan 2+1 Daire,"Balçova, Korutürk Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/emlaksal-gayrimenkul-93841,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/7/0/9/2/2/4/3f446895-e655-402e-b64f-76ba03814aa1.jpg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/1/4/8/3/9/0/c84d77b0-8324-42f0-8e3d-f88ef9d84050.jpg,izmir,balcova,koruturk,2,1,90,35,3,29000
16,15000,05-04-2024,Kiralık Daire,2 +                        1,80 m²,5                       Yaşında,1. Kat,Can Emlak Tan Ürkmez Mevkii Yaz-Kış Kiralık Daire,"Menderes, Gümüldür Fevzi Çakmak Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/8/2/1/7/3/2/4/29336f92-588f-47f5-ac85-5180686b50f3.jpeg,,izmir,menderes,gumuldur_fevzi_cakmak,2,1,80,5,1,15000
27,13000,08-03-2024,Kiralık Daire,2 +                        1,85 m²,0 Yaşında,5. Kat,Günay Emlak’tan Kiralık 2+1 80 M2 Sıfır Doğalgazlı Asansörlü Daire,"Torbalı, Muratbey Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/9/7/9/0/2/4/1706084707-034607-42097966.jpeg,,izmir,torbali,muratbey,2,1,85,0,5,13000
20,25000,06-04-2024,Kiralık Daire,3 +                        1,180 m²,0 Yaşında,1. Kat,Geniş Kullanışlı Lüks Daire,"Kemalpaşa, Ulucak Mustafa Kemal Atatürk Mahallesi",,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/2/5/5/6/4/2/4/7f536373-4f6f-4669-a06c-1de8f02cae31.jpeg,,izmir,kemalpasa,ulucak_mustafa_kemal_ataturk,3,1,180,0,1,25000
33,18500,15-04-2024,Kiralık Daire,3 +                        1,120 m²,39                       Yaşında,2. Kat,Göztepe Metroya 2 Dak.Otoparklı Doğalgazlı 3+1 Bakımlı 2.Arakat,"Konak, Göztepe Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/evin-emlak-emre-62166,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/3/6/1/9/1/4/02cf9edd-0239-4ad2-aa26-856896168297.jpg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/6/6/1/2/6/0/a8f0f4fd-b604-4f49-a647-2f37f7983ca4.jpg,izmir,konak,goztepe,3,1,120,39,2,18500
14,14000,08-04-2024,Kiralık Daire,2 +                        1,80 m²,28                       Yaşında,2. Kat,Tınaztepe Hastane Yanında Eşyalı 2+1 Kiralık Daire.,"Buca, Kuruçeşme Mahallesi",https://www.hepsiemlak.com/emlak-ofisi/turker-gayrimenkul-danismanlik-133337,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/9/4/7/4/2/4/e06f76c5-0c1e-43b1-b1e4-168e3d4f1122.jpg,https://hecdnnw.hemlak.com/mncropresize/91/68/logo/7/3/3/3/3/1/7c2b1f04-5eeb-4530-b0be-de65fc22fe1e.jpg,izmir,buca,kurucesme,2,1,80,28,2,14000
